qt_d1sbqsiftd,qt_e1sbqsiftd,qt_3iyhzvnitd,qt_xd6evd8dtd
08-9424050,"גיבורי החיל 1, יבנה",מכבי,טיפות חלב 🔴
08-9415004,"מדעי שלום 14, קריית עקרון",כללית,טיפות חלב 🔴
08-9408422,"נורדאו 31, נס ציונה",מכבי,טיפות חלב 🔴
08-9383119,"הבנים  1, נס ציונה",הפועלים,בנקים 🔵
08-9377661,"השייטת 4, נס ציונה",מאוחדת,טיפות חלב 🔴
08-9371235,"הרצל  111, רחובות",הפועלים,בנקים 🔵
08-9360500,"הרצל  182, רחובות",הבינלאומי,בנקים 🔵
08-9340341,"רקפת 3, מזכרת בתיה",משרד הבריאות,טיפות חלב 🔴
08-9325800,"שד דואני 20, יבנה",לאומית,טיפות חלב 🔴
08-9315270,"שד הרב מפוניבז' 12, מודיעין עילית",כללית,טיפות חלב 🔴
08-9314560,"אופנהיימר, פארק המדע  10, רחובות",הפועלים,בנקים 🔵
08-9311200,"רחובות, שדרות ח''ן 56",כללית,מרפאות 🟠
08-9292229,"בוגנים אהרון 11, רמלה",משרד הבריאות,טיפות חלב 🔴
08-9285330,"07-ינו, מודיעין עילית",כללית,טיפות חלב 🔴
08-9269666,"מרכז מסחרי רעות  0, מודיעין-מכבים-רעות",הבינלאומי,בנקים 🔵
08-9263613,"מרכז מסחרי רעות, מודיעין-מכבים-רעות",כללית,טיפות חלב 🔴
08-9259358,"דני מס  7, רמלה",הפועלים,בנקים 🔵
08-9259121,"שעלבים, שעלבים",כללית,טיפות חלב 🔴
08-9246507,"חללי מינכן 8, לוד",משרד הבריאות,טיפות חלב 🔴
08-9230133,"פינת אינשטיין, לוד",משרד הבריאות,טיפות חלב 🔴
08-9219078,"לנדאו חיים 4, רמלה",משרד הבריאות,טיפות חלב 🔴
08-9198430,"בעלי המלאכה  0, נתיבות",יהב,בנקים 🔵
08-9184814,"שא נס  17, באר יעקב",הפועלים,בנקים 🔵
08-9183700,"רמלה, הרצל שד' 59",מאוחדת,מרפאות 🟠
08-9145200,"כרמי יוסף, כרמי יוסף",כללית,טיפות חלב 🔴
08-9144343,"מודיעין עילית, אבני נזר 46",מאוחדת,מרפאות 🟠
08-9144321,"אבני נזר 46, מודיעין עילית",מאוחדת,טיפות חלב 🔴
08-9142500,"מודיעין עילית, נתיבות המשפט 5",לאומית,מרפאות 🟠
08-9142000,"נתיבות המשפט 90, מודיעין עילית",מכבי,טיפות חלב 🔴
08-9138800,"לוד, אתרוג 5",לאומית,מרפאות 🟠
08-9136200,"לוד, ארבע עונות 14",כללית,מרפאות 🟠
08-9135200,"באר יעקב, יהודה 6",כללית,מרפאות 🟠
08-9132111,"שדרות יחזקאל 2, מודיעין עילית",מכבי,טיפות חלב 🔴
08-9119888,"אופקים, שד הרצל 62",לאומית,מרפאות 🟠
08-9118222,"צוחר,  0",כללית,מרפאות 🟠
08-9113228,"יוהנה ז'בוטינסקי 30, באר שבע",כללית,טיפות חלב 🔴
08-89960955,"אופקים, שד הרצל 36",מכבי,מרפאות 🟠
08-89951515,"ערד, שמעון 13",מכבי,מרפאות 🟠
08-89939400,"נתיבות, שד ירושלים 18",מכבי,מרפאות 🟠
08-89737666,"מודיעין-מכבים-רעות, תלתן 8",מכבי,מרפאות 🟠
08-89424040,"יבנה, גיבורי החיל 126",מכבי,מרפאות 🟠
08-89360333,"רחובות, סמילנסקי 27",מכבי,מרפאות 🟠
08-89274111,"לוד, שפירא חיים משה 31",מכבי,מרפאות 🟠
08-89132111,"מודיעין עילית, שדרות יחזקאל 2",מכבי,מרפאות 🟠
08-88688111,"אשדוד, רשב""י 15",מכבי,מרפאות 🟠
08-88621700,"גדרה, פינס 3",מכבי,מרפאות 🟠
08-88573613,"גן יבנה, המגינים 56",מכבי,מרפאות 🟠
08-88549549,"אשדוד, השייטים 12",מכבי,מרפאות 🟠
08-86891855,"שדרות, סמ הפלדה 2",מכבי,מרפאות 🟠
08-8688926,"הציונות  13, אשדוד",הפועלים,בנקים 🔵
08-8687600,"אשדוד, כנרת 71",לאומית,מרפאות 🟠
08-8687500,"אשדוד, אחד העם 22",לאומית,מרפאות 🟠
08-8687200,"שד' מנחם בגין קניון הסיטי  7, אשדוד",הבינלאומי,בנקים 🔵
08-8687113,"העצמאות 8, גן יבנה",מאוחדת,טיפות חלב 🔴
08-8681165,"שד בגין מנחם 14, גדרה",כללית,טיפות חלב 🔴
08-8681165,"שד בגין מנחם 48, גדרה",מאוחדת,טיפות חלב 🔴
08-86747666,"אשקלון, הגבורה 3",מכבי,מרפאות 🟠
08-86629200,"קרית גת, שד העצמאות 64",מכבי,מרפאות 🟠
08-86583004,"ירוחם, בורנשטיין צבי 199",מכבי,מרפאות 🟠
08-8653132,"אשדוד, הלל 8",כללית,מרפאות 🟠
08-8643326,"המלך שלמה 25, אשדוד",משרד הבריאות,טיפות חלב 🔴
08-86416622,"באר שבע, יוהנה ז'בוטינסקי 30",מכבי,מרפאות 🟠
08-8637200,"גדרה, לילינבלום 60",כללית,מרפאות 🟠
08-86364848,"אילת, שד התמרים 39",מכבי,מרפאות 🟠
08-8631740,"הבילויים  6, גדרה",הפועלים,בנקים 🔵
08-86267222,"באר שבע, התקוה 4",מכבי,מרפאות 🟠
08-8624200,"אשדוד, נתן אלבז 27",כללית,מרפאות 🟠
08-8623300,"גן יבנה, הרצל 3",כללית,מרפאות 🟠
08-8623200,"אשדוד, זלמן ארן 19",כללית,מרפאות 🟠
08-8621700,"פינס 5, גדרה",מכבי,טיפות חלב 🔴
08-8621200,"הבנים  7, אשדוד",מסד,בנקים 🔵
08-8607314,"ד.נ שדה גת, משואות יצחק",כללית,טיפות חלב 🔴
08-8601250,"המ""ג 14, קריית מלאכי",כללית,טיפות חלב 🔴
08-8593322,"ויצמן 8, גדרה",כללית,טיפות חלב 🔴
08-8591766,"עשרת, עשרת",כללית,טיפות חלב 🔴
08-8591138,"ד.נ עמק שורק, יד בנימין",כללית,טיפות חלב 🔴
08-8590800,"אשדוד, סנש חנה 9",לאומית,מרפאות 🟠
08-8589888,"קרית מלאכי, ז'בוטינסקי 22",לאומית,מרפאות 🟠
08-8588685,"זבוטינסקי  22, קריית מלאכי",הפועלים,בנקים 🔵
08-8581904,"ד.נ שקמים, ערוגות",כללית,טיפות חלב 🔴
08-8581008,"דואר באר טוביה, באר טוביה",כללית,טיפות חלב 🔴
08-8578200,"רשב""י  11, אשדוד",הבינלאומי,בנקים 🔵
08-8574131,"המגינים 56, גן יבנה",מכבי,טיפות חלב 🔴
08-8574131,"הרצל 41, גן יבנה",כללית,טיפות חלב 🔴
08-8573095,"מושב ביצרון, ביצרון",כללית,טיפות חלב 🔴
08-8551113,"מבוא העירית 3, אשדוד",משרד הבריאות,טיפות חלב 🔴
08-8548300,"ד.נ אבטח, יבנה",כללית,טיפות חלב 🔴
08-8548300,"קבוצת יבנה, קבוצת יבנה",כללית,טיפות חלב 🔴
08-8548037,"דב גור  29, אשדוד",הפועלים,בנקים 🔵
08-8521439,"ד.נ אבטח, אמונים",כללית,טיפות חלב 🔴
08-8519400,"אשדוד, עוזיהו 4",כללית,מרפאות 🟠
08-8519200,"בן גוריון  105, גדרה",הבינלאומי,בנקים 🔵
08-8515543,"בני דרום, בני דרום",כללית,טיפות חלב 🔴
08-8514158,"שבי ציון  9, אשדוד",הפועלים,בנקים 🔵
08-8510020,"ניר גלים, ניר גלים",כללית,טיפות חלב 🔴
08-8501460,"בגין מנחם 1, קריית מלאכי",מכבי,טיפות חלב 🔴
08-6983974,"קניון פרץ סנטר  1, דימונה",יהב,בנקים 🔵
08-6899889,"הגיא 10, שדרות",משרד הבריאות,טיפות חלב 🔴
08-6898155,"ד.נ. לכיש דרום, תלמים",כללית,טיפות חלב 🔴
08-6892798,"ד.נ חוף אשקלון, חלץ",כללית,טיפות חלב 🔴
08-6887976,"ד.נ לכיש דרום, לכיש",כללית,טיפות חלב 🔴
08-6879888,"קרית גת, מיכה 8",לאומית,מרפאות 🟠
08-6875191,"שד' לכיש  30, קריית גת",הפועלים,בנקים 🔵
08-6874316,"ד.נ שדה גת, בית ניר",כללית,טיפות חלב 🔴
08-6874219,"ד.נ לכיש דרום, בית גוברין",כללית,טיפות חלב 🔴
08-6867260,"נתיבות שלום 16, קריית גת",מכבי,טיפות חלב 🔴
08-6856200,"מרכז מסחרי  0, רהט",הפועלים,בנקים 🔵
08-6848619,"שדה דוד, שדה דוד",כללית,טיפות חלב 🔴
08-6830222,"ההסתדרות 23, אשלים",כללית,טיפות חלב 🔴
08-6815314,"נתיבות שלום 16, קריית גת",מאוחדת,טיפות חלב 🔴
08-6814406,"ד.ה שדה גת, קוממיות",כללית,טיפות חלב 🔴
08-6808844,"ד.נ חוף אשקלון, דורות",כללית,טיפות חלב 🔴
08-6807800,"רהט, מרכז מסחרי ",לאומית,מרפאות 🟠
08-6807100,"רוחמה, רוחמה",כללית,טיפות חלב 🔴
08-6803661,"ד.נ חוף אשקלון 79152, ברור חיל",כללית,טיפות חלב 🔴
08-6801885,"ככר הנשיא  8, שדרות",הפועלים,בנקים 🔵
08-6801222,"ד.נ חוף אשקלון, ארז",כללית,טיפות חלב 🔴
08-6800412,"קיבוץ סעד, סעד",מכבי,טיפות חלב 🔴
08-6799200,"שד ירושלים  119, אשלים",הבינלאומי,בנקים 🔵
08-6798222,"אסף הרופא 10, אשלים",כללית,טיפות חלב 🔴
08-6790555,"אשקלון, כצנלסון 10",לאומית,מרפאות 🟠
08-6780176,"אקסודוס 12, אשלים",משרד הבריאות,טיפות חלב 🔴
08-6776200,"רמז  25, אשלים",הבינלאומי,בנקים 🔵
08-6774905,"ד.נ לכיש צפון, נגבה",כללית,טיפות חלב 🔴
08-6748222,"מרכז בכור, אשלים",כללית,טיפות חלב 🔴
08-6747469,"הגבורה  3, אשלים",הפועלים,בנקים 🔵
08-6741741,"אשקלון, הגבורה 11",מאוחדת,מרפאות 🟠
08-6724650,"ד.נ שדה גת, ניר ישראל",כללית,טיפות חלב 🔴
08-6721989,"הרצל  28, אשלים",הפועלים,בנקים 🔵
08-6701444,"אשקלון, אקסודוס 6",מאוחדת,מרפאות 🟠
08-6670333,"שד העצמאות 30, קריית גת",כללית,טיפות חלב 🔴
08-6670200,"הזית  54, קריית גת",הבינלאומי,בנקים 🔵
08-6654201,"שכ 13 , כסיפה",משרד הבריאות,טיפות חלב 🔴
08-6650944,"ים המלח - בתי מלון,  0",כללית,מרפאות 🟠
08-6624666,"שדרות, בן יהודה 21",לאומית,מרפאות 🟠
08-6621222,"שדרות, הדגל 4",כללית,מרפאות 🟠
08-6617222,"אשדוד, רבי יהודה הנשיא 6",מאוחדת,מרפאות 🟠
08-6602611,"שד העצמאות 64, קריית גת",מכבי,טיפות חלב 🔴
08-6596120,"שד' בן גוריון  1, מצפה רמון",הפועלים,בנקים 🔵
08-6592223,"ד.נ הערבה, ספיר",כללית,טיפות חלב 🔴
08-6592223,"ספיר,  0",כללית,מרפאות 🟠
08-6590111,"סייד (שבט),  0",כללית,מרפאות 🟠
08-6581075,"ד.נ הערבה, פארן",כללית,טיפות חלב 🔴
08-6581073,"ד.נ הערבה, עין יהב",כללית,טיפות חלב 🔴
08-6581033,"ד.נ הערבה, עידן",כללית,טיפות חלב 🔴
08-6562520,"ד.נ חלוצה, רביבים",כללית,טיפות חלב 🔴
08-6561460,"ד.נ חלוצה, ניצנה (קהילת חינוך)",כללית,טיפות חלב 🔴
08-6560333,"שדה בוקר, שדה בוקר",כללית,טיפות חלב 🔴
08-6559381,"שדרות הנשיא (ליד בית האבות), דימונה",משרד הבריאות,טיפות חלב 🔴
08-6555565,"ד.נ. ים המלח, נאות הכיכר",כללית,טיפות חלב 🔴
08-6553750,"הניצחון א', דימונה",משרד הבריאות,טיפות חלב 🔴
08-6543352,"בורנשטיין צבי  915, ירוחם",הפועלים,בנקים 🔵
08-6517479,"לקיה, לקיה",משרד הבריאות,טיפות חלב 🔴
08-6510980,"חורה, חורה",משרד הבריאות,טיפות חלב 🔴
08-6510230,"מרכז מסחרי, להבים",מכבי,טיפות חלב 🔴
08-6510178,"שכונה 9, חורה",כללית,טיפות חלב 🔴
08-6510034,"מרכז מסחרי מיתר, מיתר",מכבי,טיפות חלב 🔴
08-6503343,"יגאל אלון  5, דימונה",הפועלים,בנקים 🔵
08-6503222,"דימונה, רחבת יציאת אירופה 1",כללית,מרפאות 🟠
08-6486266,"שד הרב מפוניבז' 3, מודיעין עילית",מאוחדת,טיפות חלב 🔴
08-6481257,"קהירי 1, באר שבע",משרד הבריאות,טיפות חלב 🔴
08-6433511,"הוברמן 7, באר שבע",משרד הבריאות,טיפות חלב 🔴
08-6416622,"יוהנה ז'בוטינסקי 30, באר שבע",מכבי,טיפות חלב 🔴
08-6413897,"סנהדרין 113, באר שבע",משרד הבריאות,טיפות חלב 🔴
08-6406870,"אברהם אבינו  99, באר שבע",הפועלים,בנקים 🔵
08-6365200,"שדרות התמרים  11, אילת",הבינלאומי,בנקים 🔵
08-6361202,"שד' התמרים, פינת דרך הערבה, מרכז מסחרי שבעת הכוכבים  3, אילת",הפועלים,בנקים 🔵
08-6359377,"מחנה יוכבד  0, אילת",הבינלאומי,בנקים 🔵
08-6355885,"ד.נ חבל אילות 88820, אילות",כללית,טיפות חלב 🔴
08-6355880,"יטבתה,  0",כללית,מרפאות 🟠
08-6353000,"אילת, שדרות ששת הימים 290",כללית,מרפאות 🟠
08-6341071,"שכונת הדקל ב, אילת",משרד הבריאות,טיפות חלב 🔴
08-6327200,"שד' מנחם בגין  7, אשדוד",הבינלאומי,בנקים 🔵
08-6318353,"שכונת צאלים, אילת",משרד הבריאות,טיפות חלב 🔴
08-6317236,"שכונת שחמון, אילת",משרד הבריאות,טיפות חלב 🔴
08-6308800,"קרית גת,  16",מאוחדת,מרפאות 🟠
08-6292890,"באר שבע, נחל קדרון 17",כללית,מרפאות 🟠
08-6292389,"העצמאות  40, באר שבע",הפועלים,בנקים 🔵
08-6292249,"יצחק רגר  17, באר שבע",הפועלים,בנקים 🔵
08-6279768,"מתנס קהילתי פלח 5 יהודה הנשיא 2 מול מקיף רגר, נווה, באר שבע",משרד הבריאות,טיפות חלב 🔴
08-6268888,"תל שבע,  0",כללית,מרפאות 🟠
08-6268844,"תל שבע,  0",כללית,מרפאות 🟠
08-6268666,"באר שבע, כהן יעקב 6",לאומית,מרפאות 🟠
08-6263536,"ים המלח - בתי מלון, ים המלח - בתי מלון",משרד הבריאות,טיפות חלב 🔴
08-6261555,"באר שבע, וינגייט 63",מאוחדת,מרפאות 🟠
08-6258700,"שד הרב מפוניבז' 9, מודיעין עילית",מכבי,טיפות חלב 🔴
08-6253225,"רותם 10, עומר",כללית,טיפות חלב 🔴
08-6252882,"שכונה 2-  901, תל שבע",משרד הבריאות,טיפות חלב 🔴
08-6240222,"באר שבע, הר כנען 4",כללית,מרפאות 🟠
08-6230762,"שגב שלום, שגב-שלום",משרד הבריאות,טיפות חלב 🔴
08-6217888,"עיון התלמוד 1/2, מודיעין עילית",לאומית,טיפות חלב 🔴
08-6207220,"משאבי שדה,  0",כללית,מרפאות 🟠
08-6204200,"בן צבי  9, באר שבע",הבינלאומי,בנקים 🔵
08-6203333,"הרצל  91, באר שבע",מסד,בנקים 🔵
08-6114400,"רמות דוד, קריית גת",לאומית,טיפות חלב 🔴
08-6113900,"יבנה, הדוגית 16",כללית,מרפאות 🟠
08-6109243,"שד ירושלים 32, באר שבע",משרד הבריאות,טיפות חלב 🔴
077-9616784,"אלון 3, קריית ים",משרד הבריאות,טיפות חלב 🔴
077-9610225,"אסא המלך 4, חיפה",משרד הבריאות,טיפות חלב 🔴
077-9525795,"חיבת ציון 3, קריית מוצקין",משרד הבריאות,טיפות חלב 🔴
077-9511745,"פוריידיס, פוריידיס",משרד הבריאות,טיפות חלב 🔴
077-9400704,"הגליל 1/15, פרדס חנה-כרכור",משרד הבריאות,טיפות חלב 🔴
077-7840979,"יוספטל 56, קריית אתא",משרד הבריאות,טיפות חלב 🔴
077-7570962,"המעפילים 1, חיפה",משרד הבריאות,טיפות חלב 🔴
077-7292652,"פינת דביר, פרדס חנה-כרכור",משרד הבריאות,טיפות חלב 🔴
077-7292567,"פינסקר 11, קריית אתא",משרד הבריאות,טיפות חלב 🔴
077-7292549,"קדושי השואה 8, זכרון יעקב",משרד הבריאות,טיפות חלב 🔴
077-7282635,"האלון 100, אור עקיבא",משרד הבריאות,טיפות חלב 🔴
077-7041319,"שד דגניה 30, חיפה",משרד הבריאות,טיפות חלב 🔴
077-5252172,"התפוז 23, נשר",משרד הבריאות,טיפות חלב 🔴
077-4030677,"ג'ת ליד בקעה, ג'ת",משרד הבריאות,טיפות חלב 🔴
