qt_p9hh25phtd,qt_xs4phvphtd,qt_ys4phvphtd,qt_h8phm6rhtd,qt_oldnq6rhtd
09-8873774  tel:098873774,"הרב אונטרמן יהודה 7, נתניה, ישראל",משרד הבריאות ותיקים,טיפות חלב,5
09-8868260  tel:098868260,"שדרות רחבעם 1, קרני שומרון, ישראל",מכבי קרני שומרון מכבי,טיפות חלב,5
09-8868200  tel:098868200,"רפפורט 3, כפר סבא, ישראל",מכבי כפר סבא הירוקה מכבי,טיפות חלב,5
09-8867201  tel:098867201,"המנופים   15, הרצלייה, ישראל",הפועלים מרכז עסקים הרצליה,בנקים,6
09-8824926  tel:098824926,"יוספטל 29, נתניה, ישראל",משרד הבריאות סלע,טיפות חלב,5
09-8821922  tel:098821922,"שד לנטוס טום 26, נתניה, ישראל",כללית קרית השרון,טיפות חלב,5
09-8787300  tel:098787300,"קלנסווה, בלאל 0, ישראל",כללית קלנסווה,מרפאות,2
09-8782138  tel:098782138,"בת חפר, בת חפר, ישראל",כללית בת חפר,טיפות חלב,5
09-8780387  tel:098780387,"קלנסווה, קלנסווה, ישראל",משרד הבריאות קלנסווה א',טיפות חלב,5
09-8780271  tel:098780271,"קלנסווה, קלנסווה, ישראל",משרד הבריאות קלנסווה ב',טיפות חלב,5
09-8743303  tel:098743303,"ימה-זמר, זמר, ישראל",משרד הבריאות ימה,טיפות חלב,5
09-8661506  tel:098661506,"משמר השרון, משמר השרון, ישראל",כללית שרונים,טיפות חלב,5
09-8652035  tel:098652035,"בן אליעזר 57, נתניה, ישראל",משרד הבריאות תחנה ב',טיפות חלב,5
09-8648800  tel:098648800,"נתניה, ירמיהו 38, ישראל",כללית הנביאים - נתניה,מרפאות,2
09-8640302  tel:098640302,"המנופים   15, הרצלייה, ישראל",הפועלים מרכז עסקים השרון,בנקים,6
09-8640218  tel:098640218,"המלאכה  45, נתניה, ישראל",הפועלים נתניה business,בנקים,6
09-8635222  tel:098635222,"נתניה, אברהם קריניצי 2, ישראל",כללית איזורים - נתניה,מרפאות,2
09-8631040  tel:098631040,"נתן יונתן  10, נתניה, ישראל",הפועלים עיר ימים,בנקים,6
09-8610904  tel:098610904,"איכילוב 8, נתניה, ישראל",משרד הבריאות איכילוב,טיפות חלב,5
09-8607222  tel:098607222,"נתניה, שטמפפר 17, ישראל",לאומית נתניה לב העיר,מרפאות,2
09-8604898  tel:098604898,"הרצל  32, נתניה, ישראל",הפועלים נתניה,בנקים,6
09-8603800  tel:098603800,"נתניה, בארי 42, ישראל",כללית בארי - נתניה,מרפאות,2
09-8603700  tel:098603700,"נתניה, פרופסור ברודצקי 31, ישראל",כללית איתנים - נתניה,מרפאות,2
09-8602023  tel:098602023,"ככר העצמאות  11, נתניה, ישראל",הפועלים הים,בנקים,6
09-8601333  tel:098601333,"נתניה, סמילנסקי 20, ישראל",מאוחדת נתניה-מרכז רפואי,מרפאות,2
09-8359939  tel:098359939,"שד גולדה מאיר 6, נתניה, ישראל",משרד הבריאות קרית נורדאו,טיפות חלב,5
09-8356928  tel:098356928,"רותם 129, נתניה, ישראל",משרד הבריאות אירוסים,טיפות חלב,5
09-8354334  tel:098354334,"קריניצי 2, נתניה, ישראל",משרד הבריאות אזורים,טיפות חלב,5
09-8344477  tel:098344477,"הרצוג 14, נתניה, ישראל",משרד הבריאות נווה דוד,טיפות חלב,5
09-8322714  tel:098322714,"דרך דגניה 92, נתניה, ישראל",משרד הבריאות דגניה,טיפות חלב,5
09-8315500  tel:098315500,"קדימה-צורן, קדימה-צורן, ישראל",כללית קדימה,טיפות חלב,5
09-8304200  tel:098304200,"רמז  14, נתניה, ישראל",מסד נתניה,בנקים,6
09-8300200  tel:098300200,"הרצל  5, נתניה, ישראל",הבינלאומי נתניה,בנקים,6
09-7994741  tel:097994741,"טייבה, מרכז אלטפל 0, ישראל",כללית מרכז בריאות הילד - טייבה,מרפאות,2
09-7993062  tel:097993062,"טייבה, טייבה, ישראל",משרד הבריאות טייבה ב',טיפות חלב,5
09-7991971  tel:097991971,"טייבה, טייבה, ישראל",משרד הבריאות טייבה ד',טיפות חלב,5
09-7991003  tel:097991003,"טייבה, טייבה, ישראל",משרד הבריאות טייבה א',טיפות חלב,5
09-7949200  tel:097949200,"מרכז מסחרי לב הישוב, אלפי מנשה, ישראל",מכבי אלפי מנשה מכבי,טיפות חלב,5
09-7946555  tel:097946555,"נתניה, שדרות טום לנטוס 26, ישראל",כללית אלון השרון - נתניה,מרפאות,2
09-7946500  tel:097946500,"כפר סבא, רפפורט 3, ישראל",כללית כללית בירוקה - כפר סבא,מרפאות,2
09-7940200  tel:097940200,"קרני שומרון, הקוממיות 1, ישראל",לאומית קרני שומרון,מרפאות,2
09-7934600  tel:097934600,"כוכב יאיר, בזלת 7, ישראל",כללית כוכב יאיר - צור יגאל,מרפאות,2
09-7931200  tel:097931200,"טירה, טירה, ישראל",כללית טירה מרכז,טיפות חלב,5
09-7921535  tel:097921535,"כיכר הרמב""""ם, עמנואל, ישראל",כללית עמנואל כללית,טיפות חלב,5
09-7920135  tel:097920135,"האלון 9, קרני שומרון, ישראל",כללית גינות שומרון כללית,טיפות חלב,5
09-7909300  tel:097909300,"המוביל 20, טירה, ישראל",מכבי טירה מכבי,טיפות חלב,5
09-7904300  tel:097904300,"מרכז ספיר, כוכב יאיר, ישראל",מכבי כוכב יאיר מכבי,טיפות חלב,5
09-7796030  tel:097796030,"מרכז אלטפל, טייבה, ישראל",כללית טיפת חלב מרכז בריאות הילד טייבה,טיפות חלב,5
09-7784200  tel:097784200,"רפפורט  1, כפר סבא, ישראל",הבינלאומי כפר סבא הירוקה,בנקים,6
09-7774600  tel:097774600,"השקד 4, תל מונד, ישראל",מכבי תל מונד מכבי,טיפות חלב,5
09-7760426  tel:097760426,"התדהר  16, רעננה, ישראל",הפועלים business רעננה,בנקים,6
09-7757228  tel:097757228,"טארק עבד אל חי  1, טירה, ישראל",הפועלים טירה המשולש,בנקים,6
09-7754227  tel:097754227,"שהין סנטר  75, טייבה, ישראל",הפועלים טייבה,בנקים,6
09-7752200  tel:097752200,"אחוזה  124, רעננה, ישראל",הבינלאומי רעננה,בנקים,6
09-7707111  tel:097707111,"הנוטרים 7, רעננה, ישראל",כללית הנוטרים,טיפות חלב,5
09-7656101  tel:097656101,"יחזקאל 12, כפר סבא, ישראל",כללית קפלן,טיפות חלב,5
09-7651265  tel:097651265,"בן גוריון 43, כפר סבא, ישראל",כללית בן גוריון כללית,טיפות חלב,5
09-7648580  tel:097648580,"ויצמן  102, כפר סבא, ישראל",הפועלים כפר סבא,בנקים,6
09-7646600  tel:097646600,"הוד השרון, ז'בוטינסקי 3, ישראל",כללית מרכז בריאות האשה והילד - הוד השרון,מרפאות,2
09-7645353  tel:097645353,"בקעת בית הנטופה  25, כפר סבא, ישראל",הפועלים הדר טל,בנקים,6
09-7643200  tel:097643200,"רוטשילד  56, כפר סבא, ישראל",הבינלאומי כפר סבא,בנקים,6
09-7641222  tel:097641222,"כפר סבא, המייסדים 20, ישראל",מאוחדת המייסדים 20 כפר סבא,מרפאות,2
09-7634000  tel:097634000,"כפר סבא, בן גוריון 43, ישראל",כללית בן גוריון - רפואת משפחה וילדים - כפר סבא,מרפאות,2
09-7630600  tel:097630600,"כפר סבא, יחזקאל 12, ישראל",כללית קפלן - כפר סבא,מרפאות,2
09-7624600  tel:097624600,"חנקין 14, הוד השרון, ישראל",כללית מגדיאל - הוד השרון,טיפות חלב,5
09-7624200  tel:097624200,"התע""ש  14, כפר סבא, ישראל",מסד כפר סבא,בנקים,6
09-7620600  tel:097620600,"הרשות 8, הוד השרון, ישראל",כללית רמתיים ילדים,טיפות חלב,5
09-7619606  tel:097619606,"בן גמלא יהושע 25 א, הוד השרון, ישראל",מאוחדת הוד השרון מאוחדת,טיפות חלב,5
09-7615222  tel:097615222,"אחוזה  96, רעננה, ישראל","מזרחי מרכז עסקים ,רעננה",בנקים,6
09-7614200  tel:097614200,"רמתיים  94, הוד השרון, ישראל",הבינלאומי הוד השרון,בנקים,6
09-7523800  tel:097523800,"קיבוץ שפיים, שפיים, ישראל",כללית שפיים,טיפות חלב,5
09-7499800  tel:097499800,"שד הדקלים צור יגאל , כוכב יאיר, ישראל",כללית צור יגאל,טיפות חלב,5
09-7484634  tel:097484634,"ד.נ חוף השרון, חרוצים, ישראל",כללית חרוצים-בצרה,טיפות חלב,5
09-7482230  tel:097482230,"רפפורט 3, כפר סבא, ישראל",מאוחדת כפר סבא הירוקה מאוחדת,טיפות חלב,5
09-7478181  tel:097478181,"הבנים 14, הוד השרון, ישראל",מכבי מכבי הוד השרון,טיפות חלב,5
09-7477979  tel:097477979,"יפה אליעזר 8, רעננה, ישראל",כללית שועלי,טיפות חלב,5
09-7477979  tel:097477979,"רעננה, אליעזר יפה 8, ישראל",כללית שועלי - רעננה,מרפאות,2
09-7476580  tel:097476580,"אחוזה  112, רעננה, ישראל",הפועלים רעננה,בנקים,6
09-7475949  tel:097475949,"דרך רמתיים  69, הוד השרון, ישראל",הפועלים הוד השרון,בנקים,6
09-7474509  tel:097474509,"קיבוץ רמת הכובש, רמת הכובש, ישראל",כללית רמת הכובש,טיפות חלב,5
09-7470777  tel:097470777,"אחוזה 124, רעננה, ישראל",מכבי רעננה,טיפות חלב,5
09-7470240  tel:097470240,"הוד השרון, סוקולוב 46, ישראל",כללית מרכז רפואי המושבה - מרפאה משולבת - הוד השרון,מרפאות,2
09-7423420  tel:097423420,"בית יתיר, כפר סבא, ישראל",מאוחדת כפר סבא,טיפות חלב,5
08-9989252  tel:089989252,"צאלים, צאלים, ישראל",כללית צאלים כללית,טיפות חלב,5
08-9982590  tel:089982590,"מושב עין הבשור, עין הבשור, ישראל",מכבי עין הבשור,טיפות חלב,5
08-9971393  tel:089971393,"ערד, שאול המלך 24, ישראל",כללית מעוף - ערד,מרפאות,2
08-9970656  tel:089970656,"חן  32, ערד, ישראל",הפועלים ערד,בנקים,6
08-9953217  tel:089953217,"ערערה-בנגב, ערערה-בנגב, ישראל",משרד הבריאות תחנת ערוער,טיפות חלב,5
08-9950989  tel:089950989,"שאול המלך 24, ערד, ישראל",משרד הבריאות ערד ב',טיפות חלב,5
08-9939927  tel:089939927,"בעלי המלאכה, צים סנטר  5, נתיבות, ישראל",הפועלים נתיבות,בנקים,6
08-9931213  tel:089931213,"הרב צבאן, נתיבות, ישראל",משרד הבריאות נתיבות ג',טיפות חלב,5
08-9929294  tel:089929294,"שד' הרצל  11, אופקים, ישראל",הפועלים אופקים,בנקים,6
08-9922621  tel:089922621,"מרכז נטע, אופקים, ישראל",משרד הבריאות אופקים,טיפות חלב,5
08-9918334  tel:089918334,"שכונה 17, רהט, ישראל",משרד הבריאות רהט ב',טיפות חלב,5
08-9918129  tel:089918129,"ד.נ. הנגב, שומרייה, ישראל",כללית שומריה,טיפות חלב,5
08-9915222  tel:089915222,"ד.נ הנגב, בית קמה, ישראל",כללית בית קמה,טיפות חלב,5
08-9910613  tel:089910613,"שכונה 8, רהט, ישראל",משרד הבריאות רהט ד',טיפות חלב,5
08-9908800  tel:089908800,"באר שבע, שינדלר אוסקר 30, ישראל",לאומית באר שבע-רמות,מרפאות,2
08-9773131  tel:089773131,"רמלה, שדרות דוד רזיאל 1, ישראל",כללית מרכז בריאות הילד - רמלה,מרפאות,2
08-9773111  tel:089773111,"רמלה, א. ס. לוי 13, ישראל",כללית רמלה בן גוריון,מרפאות,2
08-9751553  tel:089751553,"נחל צלמון 17, מודיעין-מכבים-רעות, ישראל",משרד הבריאות נחל צלמון,טיפות חלב,5
08-9743667  tel:089743667,"רבי עקיבא 3, מודיעין עילית, ישראל",מאוחדת ברכפלד מאוחדת,טיפות חלב,5
08-9740318  tel:089740318,"מסילת יוסף 34, מודיעין עילית, ישראל",כללית קרית ספר כללית,טיפות חלב,5
08-9736200  tel:089736200,"ערער  14, מודיעין-מכבים-רעות, ישראל",הבינלאומי מודיעין,בנקים,6
08-9735666  tel:089735666,"עמק דותן 53, מודיעין-מכבים-רעות, ישראל",מכבי מודיעין,טיפות חלב,5
08-9735353  tel:089735353,"דם המכבים  38, מודיעין-מכבים-רעות, ישראל",הפועלים מודיעין,בנקים,6
08-9735222  tel:089735222,"מודיעין-מכבים-רעות, עמק בית שאן 30, ישראל",לאומית מודיעין,מרפאות,2
08-9730964  tel:089730964,"מודיעין-מכבים-רעות, לאה אימנו 1, ישראל",מאוחדת מודיעין - לאה אימנו 1,מרפאות,2
08-9726782  tel:089726782,"ד.נ שמשון, מבוא חורון, ישראל",כללית מבוא חורון,טיפות חלב,5
08-9583555  tel:089583555,"לוד, האיילון 14, ישראל",לאומית גני יער,מרפאות,2
08-9583330  tel:089583330,"נתיבות השלום 16, קריית גת, ישראל",כללית רמות דוד כללית,טיפות חלב,5
08-9559222  tel:089559222,"מצפה רמון, נחל גרופית 4, ישראל",כללית מצפה רמון,מרפאות,2
08-9524200  tel:089524200,"עזרא  4, רחובות, ישראל",הבינלאומי פאגי רחובות,בנקים,6
08-9523230  tel:089523230,"האורגים  11, אשדוד, ישראל",הפועלים מרכז עסקים אשדוד,בנקים,6
08-9496412  tel:089496412,"מרפאת מכבי בני נצרים, בני נצרים, ישראל",מכבי בני נצרים,טיפות חלב,5
08-9474255  tel:089474255,"יונתן נתניהו 9, רחובות, ישראל",כללית כפר גבירול,טיפות חלב,5
08-9459553  tel:089459553,"פרשני אברהם 8, רחובות, ישראל",משרד הבריאות פרשני,טיפות חלב,5
08-9451804  tel:089451804,"מקוב בתיה 16, רחובות, ישראל",משרד הבריאות בתיה מקוב,טיפות חלב,5
08-9445903  tel:089445903,"הרצל  179, רחובות, ישראל",הפועלים רחובות,בנקים,6
08-9442821  tel:089442821,"קיבוץ מען, נען, ישראל",כללית נען,טיפות חלב,5
08-9437528  tel:089437528,"הדקל 6, יבנה, ישראל",כללית הדקל כללית,טיפות חלב,5
08-9436565  tel:089436565,"הרב אבוחצירא 1, יבנה, ישראל",כללית נאות אשכול,טיפות חלב,5
08-9425240  tel:089425240,"שד' דואני  46, יבנה, ישראל",הפועלים יבנה,בנקים,6
08-9424050  tel:089424050,"גיבורי החיל 1, יבנה, ישראל",מכבי יבנה מכבי,טיפות חלב,5
08-9415004  tel:089415004,"מדעי שלום 14, קריית עקרון, ישראל",כללית עקרון,טיפות חלב,5
08-9408422  tel:089408422,"נורדאו 31, נס ציונה, ישראל",מכבי נס ציונה מכבי,טיפות חלב,5
08-9383119  tel:089383119,"הבנים  1, נס ציונה, ישראל",הפועלים נס ציונה,בנקים,6
08-9377661  tel:089377661,"השייטת 4, נס ציונה, ישראל",מאוחדת נס ציונה מאוחדת,טיפות חלב,5
08-9371235  tel:089371235,"הרצל  111, רחובות, ישראל",הפועלים הדרים,בנקים,6
08-9360500  tel:089360500,"הרצל  182, רחובות, ישראל",הבינלאומי רחובות,בנקים,6
08-9340341  tel:089340341,"רקפת 3, מזכרת בתיה, ישראל",משרד הבריאות מזכרת בתיה,טיפות חלב,5
08-9325800  tel:089325800,"שד דואני 20, יבנה, ישראל",לאומית יבנה לאומית,טיפות חלב,5
08-9315270  tel:089315270,"שד הרב מפוניבז' 12, מודיעין עילית, ישראל",כללית אבי עזרי,טיפות חלב,5
08-9314560  tel:089314560,"אופנהיימר, פארק המדע  10, רחובות, ישראל",הפועלים מרכז עסקים דרום,בנקים,6
08-9311200  tel:089311200,"רחובות, שדרות ח''ן 56, ישראל",כללית חיים - רחובות,מרפאות,2
08-9292229  tel:089292229,"בוגנים אהרון 11, רמלה, ישראל",משרד הבריאות רמת דן,טיפות חלב,5
08-9285330  tel:089285330,"07-ינו, מודיעין עילית, ישראל",כללית נאות פסגה,טיפות חלב,5
08-9269666  tel:089269666,"מרכז מסחרי רעות  0, מודיעין-מכבים-רעות, ישראל",הבינלאומי רעות,בנקים,6
08-9263613  tel:089263613,"מרכז מסחרי רעות, מודיעין-מכבים-רעות, ישראל",כללית רעות,טיפות חלב,5
08-9259358  tel:089259358,"דני מס  7, רמלה, ישראל",הפועלים רמלה,בנקים,6
08-9259121  tel:089259121,"שעלבים, שעלבים, ישראל",כללית שעלבים+ נוף אילון,טיפות חלב,5
08-9246507  tel:089246507,"חללי מינכן 8, לוד, ישראל",משרד הבריאות גבעת הזיתים,טיפות חלב,5
08-9230133  tel:089230133,"פינת אינשטיין, לוד, ישראל",משרד הבריאות אורנים,טיפות חלב,5
08-9219078  tel:089219078,"לנדאו חיים 4, רמלה, ישראל",משרד הבריאות קרית מנחם,טיפות חלב,5
08-9198430  tel:089198430,"בעלי המלאכה  0, נתיבות, ישראל",יהב נתיבות,בנקים,6
08-9184814  tel:089184814,"שא נס  17, באר יעקב, ישראל",הפועלים באר יעקב,בנקים,6
08-9183700  tel:089183700,"רמלה, הרצל שד' 59, ישראל",מאוחדת רמלה-בית רוחם שד' הרצל,מרפאות,2
08-9145200  tel:089145200,"כרמי יוסף, כרמי יוסף, ישראל",כללית כרמי יוסף,טיפות חלב,5
08-9144343  tel:089144343,"מודיעין עילית, אבני נזר 46, ישראל",מאוחדת מודיעין עילית - אבני נזר 46,מרפאות,2
08-9144321  tel:089144321,"אבני נזר 46, מודיעין עילית, ישראל",מאוחדת קרית ספר מאוחדת,טיפות חלב,5
08-9142500  tel:089142500,"מודיעין עילית, נתיבות המשפט 5, ישראל",לאומית קרית ספר,מרפאות,2
08-9142000  tel:089142000,"נתיבות המשפט 90, מודיעין עילית, ישראל",מכבי הגבעה הדרומית,טיפות חלב,5
08-9138800  tel:089138800,"לוד, אתרוג 5, ישראל",לאומית לוד,מרפאות,2
08-9136200  tel:089136200,"לוד, ארבע עונות 14, ישראל",כללית גני אביב - לוד,מרפאות,2
08-9135200  tel:089135200,"באר יעקב, יהודה 6, ישראל",כללית לב הבאר - באר יעקב,מרפאות,2
08-9132111  tel:089132111,"שדרות יחזקאל 2, מודיעין עילית, ישראל",מכבי ברכפלד מכבי,טיפות חלב,5
08-9119888  tel:089119888,"אופקים, שד הרצל 62, ישראל",לאומית אופקים,מרפאות,2
08-9118222  tel:089118222,"צוחר,  0, ישראל",כללית מרכז בריאות צוחר,מרפאות,2
08-9113228  tel:089113228,"יוהנה ז'בוטינסקי 30, באר שבע, ישראל",כללית נווה זאב כללית,טיפות חלב,5
08-89960955  tel:0889960955,"אופקים, שד הרצל 36, ישראל",מכבי מר.רפואי אופקים-מנהלת,מרפאות,2
08-89951515  tel:0889951515,"ערד, שמעון 13, ישראל",מכבי מר.רפואי ערד-מנהלת,מרפאות,2
08-89939400  tel:0889939400,"נתיבות, שד ירושלים 18, ישראל",מכבי מר.רפואי נתיבות-מנהלת,מרפאות,2
08-89737666  tel:0889737666,"מודיעין-מכבים-רעות, תלתן 8, ישראל",מכבי מר.רפואי מודיעין-מנהלת,מרפאות,2
08-89424040  tel:0889424040,"יבנה, גיבורי החיל 126, ישראל",מכבי מר.רפואי יבנה-מנהלת,מרפאות,2
08-89360333  tel:0889360333,"רחובות, סמילנסקי 27, ישראל",מכבי מר.רפואי רחובות-מנהלת,מרפאות,2
08-89274111  tel:0889274111,"לוד, שפירא חיים משה 31, ישראל",מכבי מר.רפואי לוד-מנהלת,מרפאות,2
08-89132111  tel:0889132111,"מודיעין עילית, שדרות יחזקאל 2, ישראל",מכבי מר.רפואי מודיעין עילית-מנהלת,מרפאות,2
08-88688111  tel:0888688111,"אשדוד, רשב""י 15, ישראל",מכבי מר.רפואי רשבי אשדוד ז'-מנהלת,מרפאות,2
08-88621700  tel:0888621700,"גדרה, פינס 3, ישראל",מכבי מר.רפואי גדרה-מנהלת,מרפאות,2
08-88573613  tel:0888573613,"גן יבנה, המגינים 56, ישראל",מכבי מר.רפואי גן-יבנה-מנהלת,מרפאות,2
08-88549549  tel:0888549549,"אשדוד, השייטים 12, ישראל",מכבי מר.רפואי אשדוד ד'-מנהלת,מרפאות,2
08-86891855  tel:0886891855,"שדרות, סמ הפלדה 2, ישראל",מכבי מר.רפואי שדרות-מנהלת,מרפאות,2
08-8688926  tel:088688926,"הציונות  13, אשדוד, ישראל",הפועלים ככר הסיטי,בנקים,6
08-8687600  tel:088687600,"אשדוד, כנרת 71, ישראל",לאומית מרכז אלמוג,מרפאות,2
08-8687500  tel:088687500,"אשדוד, אחד העם 22, ישראל",לאומית אשדוד רסקו,מרפאות,2
08-8687200  tel:088687200,"שד' מנחם בגין קניון הסיטי  7, אשדוד, ישראל",הבינלאומי אשדוד סיטי,בנקים,6
08-8687113  tel:088687113,"העצמאות 8, גן יבנה, ישראל",מאוחדת גן יבנה מאוחדת,טיפות חלב,5
08-8681165  tel:088681165,"שד בגין מנחם 48, גדרה, ישראל",מאוחדת גדרה מאוחדת,טיפות חלב,5
08-8681165  tel:088681165,"שד בגין מנחם 14, גדרה, ישראל",כללית גדרה הצעירה,טיפות חלב,5
08-86747666  tel:0886747666,"אשקלון, הגבורה 3, ישראל",מכבי מר.רפואי אשקלון-מנהלת,מרפאות,2
08-86629200  tel:0886629200,"קרית גת, שד העצמאות 64, ישראל",מכבי מר.רפואי קרית גת-מנהלת,מרפאות,2
08-86583004  tel:0886583004,"ירוחם, בורנשטיין צבי 199, ישראל",מכבי מר.רפואי ירוחם-מנהלת,מרפאות,2
08-8653132  tel:088653132,"אשדוד, הלל 8, ישראל",כללית מרפאת הלל - אשדוד,מרפאות,2
08-8643326  tel:088643326,"המלך שלמה 25, אשדוד, ישראל",משרד הבריאות אשדוד יג',טיפות חלב,5
08-86416622  tel:0886416622,"באר שבע, יוהנה ז'בוטינסקי 30, ישראל",מכבי מר.רפואי נווה זאב-מנהלת,מרפאות,2
08-8637200  tel:088637200,"גדרה, לילינבלום 60, ישראל",כללית נאות גדרה - מרפאה משולבת,מרפאות,2
08-86364848  tel:0886364848,"אילת, שד התמרים 39, ישראל",מכבי מר.רפואי אילת-מנהלת,מרפאות,2
08-8631740  tel:088631740,"הבילויים  6, גדרה, ישראל",הפועלים גדרה,בנקים,6
08-86267222  tel:0886267222,"באר שבע, התקוה 4, ישראל",מכבי מר. רפואי נגב-מנהלת,מרפאות,2
08-8624200  tel:088624200,"אשדוד, נתן אלבז 27, ישראל",כללית רובע ו' - אשדוד,מרפאות,2
08-8623300  tel:088623300,"גן יבנה, הרצל 3, ישראל",כללית גן יבנה,מרפאות,2
08-8623200  tel:088623200,"אשדוד, זלמן ארן 19, ישראל",כללית רובע ד' - אשדוד,מרפאות,2
08-8621700  tel:088621700,"פינס 5, גדרה, ישראל",מכבי גדרה מכבי,טיפות חלב,5
08-8621200  tel:088621200,"הבנים  7, אשדוד, ישראל",מסד אשדוד,בנקים,6
08-8607314  tel:088607314,"ד.נ שדה גת, משואות יצחק, ישראל",כללית משואות יצחק,טיפות חלב,5
08-8601250  tel:088601250,"המ""ג 14, קריית מלאכי, ישראל",כללית קרית מלאכי מומחים כללית,טיפות חלב,5
08-8593322  tel:088593322,"ויצמן 8, גדרה, ישראל",כללית גדרה כללית,טיפות חלב,5
08-8591766  tel:088591766,"עשרת, עשרת, ישראל",כללית עשרת,טיפות חלב,5
08-8591138  tel:088591138,"ד.נ עמק שורק, יד בנימין, ישראל",כללית יד בנימין כללית,טיפות חלב,5
08-8590800  tel:088590800,"אשדוד, סנש חנה 9, ישראל",לאומית אשדוד ג',מרפאות,2
08-8589888  tel:088589888,"קרית מלאכי, ז'בוטינסקי 22, ישראל",לאומית קרית מלאכי,מרפאות,2
08-8588685  tel:088588685,"זבוטינסקי  22, קריית מלאכי, ישראל",הפועלים קרית מלאכי,בנקים,6
08-8581904  tel:088581904,"ד.נ שקמים, ערוגות, ישראל",כללית ערוגות,טיפות חלב,5
08-8581008  tel:088581008,"דואר באר טוביה, באר טוביה, ישראל",כללית מרכז בריאות טל,טיפות חלב,5
08-8578200  tel:088578200,"רשב""י  11, אשדוד, ישראל",הבינלאומי פאגי אשדוד,בנקים,6
08-8574131  tel:088574131,"המגינים 56, גן יבנה, ישראל",מכבי גן יבנה מכבי,טיפות חלב,5
08-8574131  tel:088574131,"הרצל 41, גן יבנה, ישראל",כללית גן יבנה כללית,טיפות חלב,5
08-8573095  tel:088573095,"מושב ביצרון, ביצרון, ישראל",כללית ביצרון,טיפות חלב,5
08-8551113  tel:088551113,"מבוא העירית 3, אשדוד, ישראל",משרד הבריאות אשדוד ח',טיפות חלב,5
08-8548300  tel:088548300,"קבוצת יבנה, קבוצת יבנה, ישראל",כללית קבוצת יבנה כללית,טיפות חלב,5
08-8548300  tel:088548300,"ד.נ אבטח, יבנה, ישראל",כללית קבוצת יבנה כללית,טיפות חלב,5
08-8548037  tel:088548037,"דב גור  29, אשדוד, ישראל",הפועלים גור,בנקים,6
08-8521439  tel:088521439,"ד.נ אבטח, אמונים, ישראל",כללית אמונים,טיפות חלב,5
08-8519400  tel:088519400,"אשדוד, עוזיהו 4, ישראל",כללית רובע ג' - אשדוד,מרפאות,2
08-8519200  tel:088519200,"בן גוריון  105, גדרה, ישראל",הבינלאומי גדרה,בנקים,6
08-8515543  tel:088515543,"בני דרום, בני דרום, ישראל",כללית בני דרום,טיפות חלב,5
08-8514158  tel:088514158,"שבי ציון  9, אשדוד, ישראל",הפועלים אשדוד,בנקים,6
08-8510020  tel:088510020,"ניר גלים, ניר גלים, ישראל",כללית ניר גלים,טיפות חלב,5
08-8501460  tel:088501460,"בגין מנחם 1, קריית מלאכי, ישראל",מכבי קרית מלאכי מכבי,טיפות חלב,5
08-6983974  tel:086983974,"קניון פרץ סנטר  1, דימונה, ישראל",יהב דימונה,בנקים,6
08-6899889  tel:086899889,"הגיא 10, שדרות, ישראל",משרד הבריאות שדרות א',טיפות חלב,5
