qt_1ipv7riftd,qt_fl5xf47dtd,qt_mjj7cc8dtd,Lego_Geocoding_LatLong
"תל אביב -יפו, שד' ישראל גורי  34, תל אביב -יפו, ישראל",כספומטים,הפועלים קרית שלום,"32.042339,34.780874"
"תל אביב -יפו, שד' ישראל גורי  34, תל אביב -יפו, ישראל",בנקים,הפועלים קרית שלום,"32.042339,34.780874"
"תל אביב -יפו, שד' ירושלים  16, תל אביב -יפו, ישראל",כספומטים,מרכנתיל יפו,"32.05523,34.759362"
"תל אביב -יפו, שד' ירושלים  16, תל אביב -יפו, ישראל",כספומטים,הפועלים יפו,"32.05523,34.759362"
"תל אביב -יפו, שד' ירושלים  16, תל אביב -יפו, ישראל",בנקים,הפועלים יפו,"32.05523,34.759362"
"תל אביב -יפו, שד' ירושלים  15, תל אביב -יפו, ישראל",כספומטים,דיסקונט חצרות יפו,"32.054525,34.759731"
"תל אביב -יפו, שד' ירושלים  15, תל אביב -יפו, ישראל",בנקים,דיסקונט חצרות יפו,"32.054525,34.759731"
"תל אביב -יפו, שארית ישראל  35, תל אביב -יפו, ישראל",בנקים,יהב רוטשילד,"32.052083,34.76403"
"תל אביב -יפו, שארית ישראל  35, תל אביב -יפו, ישראל",כספומטים,יהב רוטשילד,"32.052083,34.76403"
"תל אביב -יפו, רמת אביב ג'  25, תל אביב -יפו, ישראל",כספומטים,דיסקונט אפקה,"32.126953,34.799683"
"תל אביב -יפו, רמת אביב ג'  25, תל אביב -יפו, ישראל",בנקים,דיסקונט אפקה,"32.126953,34.799683"
"תל אביב -יפו, ריינס  2, תל אביב -יפו, ישראל",בנקים,הבינלאומי דיזנגוף,"32.078187,34.774763"
"תל אביב -יפו, ריינס  2, תל אביב -יפו, ישראל",כספומטים,הבינלאומי דיזנגוף,"32.078187,34.774763"
"תל אביב -יפו, רוטשילד  50, תל אביב -יפו, ישראל",כספומטים,הפועלים הסניף הראשי,"32.063961,34.775244"
"תל אביב -יפו, רוטשילד  50, תל אביב -יפו, ישראל",בנקים,הפועלים הסניף הראשי,"32.063961,34.775244"
"תל אביב -יפו, רוטשילד  42, תל אביב -יפו, ישראל",בנקים,הבינלאומי מרכז תפעול לחברי בורסה שאינם בנקים,"32.063504,34.774295"
"תל אביב -יפו, ראשון לציון 3, תל אביב -יפו, ישראל",טיפות חלב,טיפות חלב ו' - תחנה מרכזית,"32.056911,34.781672"
"תל אביב -יפו, קפלן, הקריה  27, תל אביב -יפו, ישראל",כספומטים,הבינלאומי הקריה,"32.073476,34.786069"
"תל אביב -יפו, קפלן  2, תל אביב -יפו, ישראל",כספומטים,דיסקונט אלון,"32.073249,34.782032"
"תל אביב -יפו, קהילת סלוניקי  7, תל אביב -יפו, ישראל",כספומטים,לאומי נאות אפקה,"32.114277,34.824475"
"תל אביב -יפו, קהילת סלוניקי  7, תל אביב -יפו, ישראל",בנקים,לאומי נאות אפקה,"32.114277,34.824475"
"תל אביב -יפו, קבוץ גלויות  71, תל אביב -יפו, ישראל",כספומטים,ירושלים תל אביב,"32.050677,34.771819"
"תל אביב -יפו, צרעה  3, תל אביב -יפו, ישראל",כספומטים,ירושלים תל אביב,"32.047339,34.809224"
"תל אביב -יפו, צה""ל  71, תל אביב -יפו, ישראל",בנקים,הבינלאומי צהלה,"32.121756,34.834896"
"תל אביב -יפו, צה""ל  71, תל אביב -יפו, ישראל",כספומטים,הבינלאומי צהלה,"32.121756,34.834896"
"תל אביב -יפו, פנקס  48, תל אביב -יפו, ישראל",כספומטים,לאומי פנקס,"32.090803,34.789013"
"תל אביב -יפו, פנקס  48, תל אביב -יפו, ישראל",בנקים,לאומי פנקס,"32.090803,34.789013"
"תל אביב -יפו, פנקס  32, תל אביב -יפו, ישראל",בנקים,הפועלים פנקס,"32.090822,34.787326"
"תל אביב -יפו, פנקס  32, תל אביב -יפו, ישראל",כספומטים,הפועלים פנקס,"32.090822,34.787326"
"תל אביב -יפו, פנחס רוזן  72, תל אביב -יפו, ישראל",כספומטים,הבינלאומי טופ-דן,"32.114692,34.826066"
"תל אביב -יפו, פנחס רוזן  72, תל אביב -יפו, ישראל",בנקים,הבינלאומי טופ-דן,"32.114692,34.826066"
"תל אביב -יפו, פנחס רוזן  28, תל אביב -יפו, ישראל",כספומטים,הפועלים הדר יוסף,"32.109592,34.826737"
"תל אביב -יפו, פנחס רוזן  28, תל אביב -יפו, ישראל",בנקים,הפועלים הדר יוסף,"32.109592,34.826737"
"תל אביב -יפו, פילדלפיה 6, תל אביב -יפו, ישראל",טיפות חלב,"טיפות חלב כ""ב - נוה שרת","32.121361,34.840778"
"תל אביב -יפו, עמיעד  13, תל אביב -יפו, ישראל",כספומטים,מזרחי מסלקה,"32.053396,34.756115"
"תל אביב -יפו, עירית 17, תל אביב -יפו, ישראל",טיפות חלב,"טיפות חלב ט""ז - יפו ג'","32.035511,34.749606"
"תל אביב -יפו, סלמה  4, תל אביב -יפו, ישראל",בנקים,מזרחי חצרות יפו,"32.054623,34.760244"
"תל אביב -יפו, סלמה  4, תל אביב -יפו, ישראל",כספומטים,מזרחי חצרות יפו,"32.054623,34.760244"
"תל אביב -יפו, נחלת יצחק 18 תל אביב - יפו, ישראל",סניפי דואר,דואר ישראל נחלת יצחק,"32.074178,34.79785"
"תל אביב -יפו, מרזוק ועזר  11, תל אביב -יפו, ישראל",כספומטים,לאומי יפו,"32.055252,34.758408"
"תל אביב -יפו, מרזוק ועזר  11, תל אביב -יפו, ישראל",בנקים,לאומי יפו,"32.055252,34.758408"
"תל אביב -יפו, מנחם בגין  146, תל אביב -יפו, ישראל",כספומטים,"מזרחי מידטאון ת""א","32.09309,34.83227"
"תל אביב -יפו, מנחם בגין  146, תל אביב -יפו, ישראל",בנקים,"מזרחי מידטאון ת""א","32.09309,34.83227"
"תל אביב -יפו, מנחם בגין  125, תל אביב -יפו, ישראל",כספומטים,"יהב קריית הממשלה ת""א - מגדל היובל","32.069577,34.787726"
"תל אביב -יפו, מונטיפיורי  31, תל אביב -יפו, ישראל",בנקים,לאומי פפר,"32.065705,34.773233"
"תל אביב -יפו, מונטיפיורי  31, תל אביב -יפו, ישראל",בנקים,לאומי עסקים לב תל אביב,"32.065705,34.773233"
"תל אביב -יפו, מונטיפיורי  31, תל אביב -יפו, ישראל",כספומטים,לאומי עסקים לב תל אביב,"32.065705,34.773233"
"תל אביב -יפו, למדן יצחק 20, תל אביב -יפו, ישראל",טיפות חלב,"טיפות חלב כ""ה - נאות אפקה","32.065293,34.785982"
"תל אביב -יפו, לוינסקי 108 תל אביב - יפו, ישראל",סניפי דואר,דואר ישראל סוכנות לוינסקי,"32.056,34.77962"
"תל אביב -יפו, לה גרדיה  78, תל אביב -יפו, ישראל",כספומטים,לאומי יד אליהו,"32.0591,34.802651"
"תל אביב -יפו, לה גוורדיה  58, תל אביב -יפו, ישראל",בנקים,הפועלים יד אליהו,"32.058841,34.796763"
"תל אביב -יפו, לה גוורדיה  58, תל אביב -יפו, ישראל",כספומטים,הפועלים יד אליהו,"32.058841,34.796763"
"תל אביב -יפו, לבנון חיים 67 תל אביב - יפו, ישראל",סניפי דואר,דואר ישראל האוניברסיטה,"32.114058,34.801091"
"תל אביב -יפו, לאונרדו דה וינצ'י  12, תל אביב -יפו, ישראל",כספומטים,לאומי בנקאות פרטית דן,"32.073865,34.785387"
"תל אביב -יפו, ירושלמי 14, תל אביב -יפו, ישראל",טיפות חלב,"טיפות חלב י""ט - בבלי","32.096299,34.800406"
"תל אביב -יפו, יצחק שדה  7, תל אביב -יפו, ישראל",כספומטים,הבינלאומי עסקים מרכז,"32.065863,34.784964"
"תל אביב -יפו, יצחק שדה  7, תל אביב -יפו, ישראל",בנקים,הבינלאומי עסקים מרכז,"32.065863,34.784964"
"תל אביב -יפו, יהונתן 4 תל אביב - יפו, ישראל",סניפי דואר,דואר ישראל צהלה,"32.121977,34.834947"
"תל אביב -יפו, יהודה הנשיא  34, תל אביב -יפו, ישראל",בנקים,דיסקונט נוה אביבים,"32.11937,34.795931"
"תל אביב -יפו, יהודה הנשיא  34, תל אביב -יפו, ישראל",כספומטים,דיסקונט נוה אביבים,"32.11937,34.795931"
"תל אביב -יפו, יהודה הלוי  62, תל אביב -יפו, ישראל",בנקים,הפועלים קרנות נאמנות,"32.066062,34.779186"
"תל אביב -יפו, יהודה הלוי  62, תל אביב -יפו, ישראל",בנקים,הפועלים ניירות ערך-תפעול,"32.066062,34.779186"
"תל אביב -יפו, יהודה הלוי  62, תל אביב -יפו, ישראל",בנקים,הפועלים האגף לניירות ערך ונכסים פיננסיים,"32.066062,34.779186"
"תל אביב -יפו, יהודה הלוי  38, תל אביב -יפו, ישראל",בנקים,דיסקונט תל אביב סיטי,"32.06157,34.771845"
"תל אביב -יפו, יהודה הלוי  38, תל אביב -יפו, ישראל",כספומטים,דיסקונט תל אביב סיטי,"32.06157,34.771845"
"תל אביב -יפו, יהודה הלוי  27, תל אביב -יפו, ישראל",כספומטים,"דיסקונט ראשי ת""א","32.061743,34.771287"
"תל אביב -יפו, יהודה הלוי  27, תל אביב -יפו, ישראל",בנקים,דיסקונט מרכז השקעות בינלאומי,"32.061743,34.771287"
"תל אביב -יפו, יהודה הלוי  27, תל אביב -יפו, ישראל",בנקים,"דיסקונט ראשי ת""א","32.061743,34.771287"
"תל אביב -יפו, יהודה הלוי  27, תל אביב -יפו, ישראל",בנקים,דיסקונט המרכז לבנקאות פרטית בינלאומית,"32.061743,34.771287"
"תל אביב -יפו, יהודה הלוי  27, תל אביב -יפו, ישראל",בנקים,דיסקונט מרכז השקעות דן,"32.061743,34.771287"
"תל אביב -יפו, יגאל אלון  98, תל אביב -יפו, ישראל",בנקים,הפועלים מרכז עסקים איילון,"32.070035,34.794258"
"תל אביב -יפו, יגאל אלון  96, תל אביב -יפו, ישראל",כספומטים,דיסקונט אלון,"32.069056,34.794139"
"תל אביב -יפו, יגאל אלון  96, תל אביב -יפו, ישראל",בנקים,דיסקונט אלון,"32.069056,34.794139"
"תל אביב -יפו, יגאל אלון  94, תל אביב -יפו, ישראל",בנקים,מזרחי יגאל אלון,"32.0692,34.794063"
"תל אביב -יפו, יגאל אלון  94, תל אביב -יפו, ישראל",כספומטים,מזרחי יגאל אלון,"32.0692,34.794063"
"תל אביב -יפו, יגאל אלון  65, תל אביב -יפו, ישראל",בנקים,הפועלים פועלים Business יצחק שדה,"32.065735,34.792392"
"תל אביב -יפו, יגאל אלון  65, תל אביב -יפו, ישראל",כספומטים,הפועלים פועלים Business יצחק שדה,"32.065735,34.792392"
"תל אביב -יפו, טבת 15, תל אביב -יפו, ישראל",טיפות חלב,"טיפות חלב י""א - שכונת עזרא","32.046429,34.790479"
"תל אביב -יפו, טאגור  38, תל אביב -יפו, ישראל",בנקים,מזרחי רמת אביב,"32.117222,34.797466"
"תל אביב -יפו, טאגור  38, תל אביב -יפו, ישראל",כספומטים,מזרחי רמת אביב,"32.117222,34.797466"
"תל אביב -יפו, ויצמן  32, תל אביב -יפו, ישראל",בנקים,הבינלאומי ככר המדינה,"32.084935,34.789743"
"תל אביב -יפו, ויצמן  32, תל אביב -יפו, ישראל",כספומטים,הבינלאומי ככר המדינה,"32.084935,34.789743"
"תל אביב -יפו, ויצמן  32, תל אביב -יפו, ישראל",בנקים,מזרחי כיכר המדינה,"32.084935,34.789743"
"תל אביב -יפו, ויצמן  32, תל אביב -יפו, ישראל",כספומטים,מזרחי כיכר המדינה,"32.084935,34.789743"
"תל אביב -יפו, ויצמן  14, תל אביב -יפו, ישראל",כספומטים,יהב איכלוב,"32.08094,34.78985"
"תל אביב -יפו, ויצמן  14, תל אביב -יפו, ישראל",בנקים,יהב איכלוב,"32.08094,34.78985"
"תל אביב -יפו, השלושה 2 תל אביב - יפו, ישראל",סניפי דואר,דואר ישראל יד אליהו,"32.061736,34.788685"
"תל אביב -יפו, השלושה  9, תל אביב -יפו, ישראל",כספומטים,לאומי יד אליהו,"32.062098,34.79031"
"תל אביב -יפו, השלושה  9, תל אביב -יפו, ישראל",בנקים,לאומי יד אליהו,"32.062098,34.79031"
"תל אביב -יפו, הרצל  14, תל אביב -יפו, ישראל",כספומטים,הפועלים הרימון,"32.062057,34.770045"
"תל אביב -יפו, הקשת 8, תל אביב -יפו, ישראל",טיפות חלב,טיפות חלב ח' - קרית שלום,"32.042712,34.774478"
"תל אביב -יפו, הקשת 6 תל אביב - יפו, ישראל",סניפי דואר,דואר ישראל קרית שלום,"32.042045,34.775058"
"תל אביב -יפו, הערמון 8, תל אביב -יפו, ישראל",טיפות חלב,"טיפות חלב י""ד - עג'מי - מרכז הירש","32.045065,34.75047"
"תל אביב -יפו, העצמאות  2, תל אביב -יפו, ישראל",כספומטים,מרכנתיל טירת הכרמל,"32.049608,34.758832"
"תל אביב -יפו, המסגר  40, תל אביב -יפו, ישראל",בנקים,הפועלים מרכז תפעולי ארצי לסחר חוץ,"32.064747,34.786501"
"תל אביב -יפו, המסגר  35, תל אביב -יפו, ישראל",כספומטים,מזרחי סקיי טאוור,"32.064694,34.785434"
"תל אביב -יפו, המסגר  35, תל אביב -יפו, ישראל",בנקים,מזרחי סקיי טאוור,"32.064694,34.785434"
"תל אביב -יפו, המלך ג'ורג'  61, תל אביב -יפו, ישראל",כספומטים,לאומי לב דיזנגוף,"32.075043,34.775864"
"תל אביב -יפו, המלך ג'ורג'  61, תל אביב -יפו, ישראל",בנקים,לאומי לב דיזנגוף,"32.075043,34.775864"
"תל אביב -יפו, הכרמל  20, תל אביב -יפו, ישראל",כספומטים,מזרחי מסלקה,"32.06693,34.76705"
"תל אביב -יפו, הירקון 61 תל אביב - יפו, ישראל",סניפי דואר,דואר ישראל הירקון,"32.075605,34.766585"
"תל אביב -יפו, החשמונאים  84, תל אביב -יפו, ישראל",כספומטים,הבינלאומי החשמונאים,"32.069462,34.782469"
"תל אביב -יפו, החשמונאים  84, תל אביב -יפו, ישראל",בנקים,הבינלאומי החשמונאים,"32.069462,34.782469"
"תל אביב -יפו, החשמונאים  123, תל אביב -יפו, ישראל",בנקים,מזרחי פרימיום,"32.069478,34.786681"
"תל אביב -יפו, החשמונאים  123, תל אביב -יפו, ישראל",בנקים,מזרחי מ. עסקים חשמונאים,"32.069478,34.786681"
"תל אביב -יפו, החשמונאים  123, תל אביב -יפו, ישראל",כספומטים,מזרחי מ. עסקים חשמונאים,"32.069478,34.786681"
"תל אביב -יפו, הורודצקי  10, תל אביב -יפו, ישראל",כספומטים,הבינלאומי גבעתיים,"32.063242,34.803075"
"תל אביב -יפו, הברזל  3, תל אביב -יפו, ישראל",כספומטים,הבינלאומי טופ-דן,"32.106628,34.835289"
"תל אביב -יפו, הברזל  26, תל אביב -יפו, ישראל",בנקים,מזרחי קרית עתידים,"32.109219,34.840489"
"תל אביב -יפו, הברזל  26, תל אביב -יפו, ישראל",כספומטים,מזרחי קרית עתידים,"32.109219,34.840489"
"תל אביב -יפו, הברזל  24, תל אביב -יפו, ישראל",בנקים,דיסקונט המרכז לבנקאות פרטית תל אביב,"32.10886,34.840865"
"תל אביב -יפו, הברזל  24, תל אביב -יפו, ישראל",כספומטים,דיסקונט קדמת עתידים,"32.10886,34.840865"
"תל אביב -יפו, הארבעה  28, תל אביב -יפו, ישראל",בנקים,"לאומי בנקאות פרטית ת""א","32.070166,34.786567"
"תל אביב -יפו, הארבעה  19, תל אביב -יפו, ישראל",כספומטים,לאומי מרכז עסקים תל אביב,"32.070572,34.786861"
"תל אביב -יפו, הארבעה  19, תל אביב -יפו, ישראל",בנקים,לאומי מרכז עסקים תל אביב,"32.070572,34.786861"
"תל אביב -יפו, הארבעה  19, תל אביב -יפו, ישראל",כספומטים,מרכנתיל עסקים ראשי,"32.070572,34.786861"
"תל אביב -יפו, הארבעה  19, תל אביב -יפו, ישראל",בנקים,יהב הקריה  תל אביב,"32.070572,34.786861"
"תל אביב -יפו, הארבעה  19, תל אביב -יפו, ישראל",בנקים,מרכנתיל רשויות מקומיות,"32.070572,34.786861"
"תל אביב -יפו, הארבעה  19, תל אביב -יפו, ישראל",כספומטים,יהב הקריה  תל אביב,"32.070572,34.786861"
"תל אביב -יפו, הארבעה  19, תל אביב -יפו, ישראל",בנקים,מרכנתיל עסקים ראשי,"32.070572,34.786861"
"תל אביב -יפו, ה' באייר  66, תל אביב -יפו, ישראל",כספומטים,דיסקונט ככר המדינה,"32.087999,34.789103"
"תל אביב -יפו, ה' באייר  66, תל אביב -יפו, ישראל",בנקים,דיסקונט ככר המדינה,"32.087999,34.789103"
"תל אביב -יפו, דרך שלמה (סלמה) 53 תל אביב-יפו, ישראל",לשכת רשות האוכלוסין,לשכת רשות האוכלוסין וההגירה תל אביב יפו,"32.055206,34.76709"
"תל אביב -יפו, דרך סלמה  83, תל אביב -יפו, ישראל",כספומטים,מזרחי מסלקה,"32.054867,34.770461"
"תל אביב -יפו, דרך משה דיין  64, תל אביב -יפו, ישראל",בנקים,דיסקונט יד אליהו,"32.058355,34.800753"
"תל אביב -יפו, דרך משה דיין  64, תל אביב -יפו, ישראל",כספומטים,דיסקונט יד אליהו,"32.058355,34.800753"
"תל אביב -יפו, דרך מנחם בגין  74, תל אביב -יפו, ישראל",כספומטים,מרכנתיל ראשי תל אביב,"32.066538,34.784665"
"תל אביב -יפו, דרך מנחם בגין  52, תל אביב -יפו, ישראל",בנקים,הפועלים מרכז עסקים תל אביב,"32.063811,34.781545"
"תל אביב -יפו, דרך מנחם בגין  23, תל אביב -יפו, ישראל",בנקים,הפועלים   Business בגין תלא אביב ,"32.062674,34.771547"
"תל אביב -יפו, דרך מנחם בגין  23, תל אביב -יפו, ישראל",כספומטים,הפועלים   Business בגין תלא אביב ,"32.062674,34.771547"
"תל אביב -יפו, דרך מנחם בגין  132, תל אביב -יפו, ישראל",כספומטים,מרכנתיל השלום,"32.074395,34.791685"
"תל אביב -יפו, דרך מנחם בגין  132, תל אביב -יפו, ישראל",בנקים,"דיסקונט בנקאות פרטית בינ""ל","32.074395,34.791685"
"תל אביב -יפו, דרך ההגנה  63, תל אביב -יפו, ישראל",כספומטים,הפועלים שכונת התקוה,"32.054268,34.789888"
"תל אביב -יפו, דרך ההגנה  63, תל אביב -יפו, ישראל",בנקים,הפועלים שכונת התקוה,"32.054268,34.789888"
"תל אביב -יפו, דרך בר-לב חיים 195, תל אביב -יפו, ישראל",טיפות חלב,טיפות חלב ט' - נוה אליעזר,"32.045356,34.80914"
"תל אביב -יפו, דניאל פריש  3, תל אביב -יפו, ישראל",כספומטים,הפועלים שאול המלך,"32.074483,34.783108"
"תל אביב -יפו, דניאל פריש  3, תל אביב -יפו, ישראל",בנקים,הפועלים שאול המלך,"32.074483,34.783108"
"תל אביב -יפו, דיזנגוף  64, תל אביב -יפו, ישראל",בנקים,הפועלים לב דיזנגוף,"32.075784,34.775037"
"תל אביב -יפו, דיזנגוף  64, תל אביב -יפו, ישראל",כספומטים,הפועלים לב דיזנגוף,"32.075784,34.775037"
"תל אביב -יפו, דיזנגוף  55, תל אביב -יפו, ישראל",כספומטים,דיסקונט לב דיזנגוף,"32.075467,34.774972"
"תל אביב -יפו, דיזנגוף  55, תל אביב -יפו, ישראל",בנקים,דיסקונט לב דיזנגוף,"32.075467,34.774972"
"תל אביב -יפו, דיזנגוף  45, תל אביב -יפו, ישראל",בנקים,מזרחי לב דיזנגוף,"32.075107,34.775298"
